,id,host_id,district,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
73,280249,1367540,Downtown Core,Moss Park,43.65831,-79.36885,Private room,76,2,143,2019-10-25,1.47,6,292,2019,10,25
74,283628,1477264,Downtown Core,Kensington-Chinatown,43.65481,-79.39697,Private room,135,3,16,2017-09-20,0.17,1,0,2017,9,20
75,288341,1368256,Downtown Core,North St.James Town,43.67093,-79.37298,Entire home/apt,125,14,21,2019-10-17,0.28,1,323,2019,10,17
76,289239,1270530,West End,Niagara,43.64294,-79.41038,Entire home/apt,199,18,91,2019-07-14,0.96,1,201,2019,7,14
78,304065,812337,West End,Dufferin Grove,43.657,-79.44806,Private room,73,2,17,2019-10-10,0.19,3,365,2019,10,10
79,307726,1108156,Downtown Core,Waterfront Communities-The Island,43.64222,-79.37987,Entire home/apt,110,60,58,2019-11-02,0.61,2,251,2019,11,2
80,309402,1591140,North End,Mount Pleasant East,43.70926,-79.37707,Shared room,50,1,91,2019-09-26,0.97,2,181,2019,9,26
81,312035,812337,West End,Dufferin Grove,43.65674,-79.44786,Private room,90,2,24,2019-09-30,0.26,3,365,2019,9,30
82,314459,1615944,East End,Blake-Jones,43.67728,-79.33585,Private room,52,3,34,2019-09-30,0.38,1,138,2019,9,30
83,314934,812337,West End,Dufferin Grove,43.657,-79.44784,Private room,85,2,23,2018-10-22,0.26,3,365,2018,10,22
85,341933,1390920,East End,South Riverdale,43.66712,-79.33678,Entire home/apt,179,3,137,2019-10-23,1.45,1,179,2019,10,23
86,358663,1815434,West End,Palmerston-Little Italy,43.66195,-79.41141,Entire home/apt,95,7,25,2019-10-31,0.27,2,308,2019,10,31
87,361557,174063,West End,South Parkdale,43.6354,-79.43854,Entire home/apt,99,28,59,2019-11-25,0.66,3,307,2019,11,25
89,363057,1816495,East End,The Beaches,43.67113,-79.29839,Entire home/apt,229,1,2,2019-07-27,0.07,1,338,2019,7,27
90,366973,1015670,Downtown Core,Waterfront Communities-The Island,43.64341,-79.40046,Entire home/apt,190,3,9,2017-09-12,0.14,1,363,2017,9,12
92,380910,1910540,East End,Danforth,43.6798,-79.34218,Entire home/apt,135,2,32,2019-08-25,0.48,1,239,2019,8,25
93,382423,1916855,Downtown Core,Kensington-Chinatown,43.65432,-79.39847,Entire home/apt,111,1,214,2019-11-03,2.29,2,149,2019,11,3
95,388696,1944849,West End,Dovercourt-Wallace Emerson-Junction,43.66633,-79.42851,Entire home/apt,60,3,18,2017-06-05,0.2,1,365,2017,6,5
96,390395,1952926,Downtown Core,Regent Park,43.65765,-79.36281,Private room,65,1,779,2019-12-06,8.31,1,245,2019,12,6
97,394627,304551,West End,Palmerston-Little Italy,43.66137,-79.41074,Entire home/apt,80,60,2,2016-07-01,0.03,4,221,2016,7,1
98,396504,1981383,West End,Roncesvalles,43.64283,-79.44686,Entire home/apt,350,3,28,2019-09-28,0.37,1,0,2019,9,28
99,403200,195095,North End,Rosedale-Moore Park,43.67149,-79.38611,Private room,95,1,3,2018-08-31,0.04,12,279,2018,8,31
100,406646,1854872,North York,Flemingdon Park,43.72029,-79.33473,Private room,40,2,30,2019-11-02,0.39,2,322,2019,11,2
101,413276,2056128,East End,Bay Street Corridor,43.6642,-79.38465,Entire home/apt,197,2,68,2019-06-09,0.75,2,340,2019,6,9
102,415104,2064477,North York,Willowdale East,43.76248,-79.40904,Entire home/apt,155,3,4,2019-11-02,0.69,4,88,2019,11,2
104,415111,2064477,North York,Willowdale East,43.76095,-79.40969,Entire home/apt,225,3,5,2019-09-11,0.94,4,0,2019,9,11
105,415135,2064477,Downtown Core,Waterfront Communities-The Island,43.64456,-79.39449,Entire home/apt,175,3,2,2017-07-11,0.07,4,359,2017,7,11
106,415308,1299598,Downtown Core,Annex,43.66859,-79.41411,Private room,99,3,28,2019-08-03,0.3,1,365,2019,8,3
108,429943,377846,East End,East End-Danforth,43.68499,-79.29131,Entire home/apt,69,3,38,2019-08-24,0.42,10,334,2019,8,24
109,436403,1429488,Downtown Core,Moss Park,43.6617,-79.37496,Entire home/apt,195,2,218,2019-11-17,2.65,3,253,2019,11,17
110,445708,2213896,Downtown Core,Kensington-Chinatown,43.65573,-79.40168,Entire home/apt,150,7,112,2018-06-28,1.22,1,364,2018,6,28
112,449650,1402232,West End,South Parkdale,43.63927,-79.43033,Entire home/apt,199,1,242,2019-11-19,3.73,5,192,2019,11,19
113,454927,2260447,Downtown Core,Church-Yonge Corridor,43.66088,-79.38043,Private room,90,2,338,2019-12-05,3.68,3,0,2019,12,5
115,456371,2268652,East End,Woodbine Corridor,43.67741,-79.31079,Private room,30,30,16,2019-11-02,0.24,3,60,2019,11,2
