id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12088303,Sunny condo room nearby Union Station& CN TowerNo1,52921252,Lynn,,Waterfront Communities-The Island,43.64251,-79.38156,Private room,101,1,221,2019-10-21,5.05,7,352
12089250,Sunny condo room nearby CN Tower and Union No2,52921252,Lynn,,Waterfront Communities-The Island,43.64256,-79.38184,Private room,94,1,215,2019-11-30,4.93,7,317
12089611,Sunny condo nearby CN tower&Union station No3,52921252,Lynn,,Waterfront Communities-The Island,43.6422,-79.38103,Private room,119,1,208,2019-12-01,4.77,7,357
12092586,Views from the 6,52873930,Emily,,Cabbagetown-South St.James Town,43.66636,-79.37724,Entire home/apt,160,1,0,,,1,0
12092730,Cozy Bedroom in Heart of Toronto,21008846,Becca,,Waterfront Communities-The Island,43.64229,-79.38093,Private room,85,1,5,2016-09-22,0.11,1,0
12098501,Stylish King Bedroom Private Suite Near Subway,14614900,Matthew,,Dufferin Grove,43.65803,-79.44053,Entire home/apt,74,2,7,2019-04-30,0.68,1,0
12110181,Sun kissed Loft,6990967,Ivka,,Niagara,43.64169,-79.40267,Entire home/apt,200,1,0,,,1,0
12112095,West side Cozy - 2 mins to subway,20867030,Don,,Lambton Baby Point,43.65134,-79.48627,Private room,50,5,2,2016-06-01,0.05,4,220
12123490,UPPER BEACHES STUDIO APPARTMENT,65043613,Rosie,,Oakridge,43.69875,-79.27813,Private room,76,1,2,2016-08-15,0.05,1,0
12125860,"Quiet, sunny, Greek Town, subway",65059839,Roula,,Playter Estates-Danforth,43.67864,-79.34656,Entire home/apt,110,2,0,,,1,0
12129574,Two bedrooms+basement in House,22307605,Geet & Sunil,,Thistletown-Beaumond Heights,43.73904,-79.56083,Entire home/apt,50,30,29,2017-04-30,0.72,1,89
12133807,"Quiet, private room in the Junction",65123390,,,Junction Area,43.66379,-79.47276,Private room,60,1,4,2016-12-07,0.09,1,0
12134046,Trendy | Spacious | King W Home,3989386,Danielle,,Waterfront Communities-The Island,43.64434,-79.39484,Entire home/apt,150,3,0,,,1,0
12135268,Semi-detached home in Leslieville,11200972,Mike,,Greenwood-Coxwell,43.67099,-79.31969,Entire home/apt,200,6,5,2019-08-25,0.12,1,0
12148231,Nice single bedroom available on first floor,52477674,Mike,,Danforth,43.68551,-79.31697,Private room,44,1,1,2019-03-31,0.12,12,360
12151689,Stunning condo with fantastic view of the city!,16053882,Victoria,,Bay Street Corridor,43.66129,-79.38757,Entire home/apt,101,2,90,2019-12-07,2.10,1,75
12154745,Historical Passages in the Heart of Toronto,65267172,Suzanne,,Kensington-Chinatown,43.65047,-79.393,Entire home/apt,350,3,42,2019-06-25,1.07,1,312
12157556,New Clean Big Rooms near Toronto Airport (Room#2),9287141,Andy,,Eringate-Centennial-West Deane,43.67202,-79.56778,Private room,50,1,265,2019-10-15,6.00,1,0
12159247,Sunny Stylish Apt 3 minutes to subway,25137938,Karen,,Yonge-Eglinton,43.70696,-79.39988,Private room,80,1,224,2019-11-14,5.17,1,46
12171838,Entire 2BDRM Apt in The Heart of Little Italy,41257294,Rick&Judy,,Trinity-Bellwoods,43.6546,-79.41431,Entire home/apt,274,2,12,2017-08-11,0.29,2,0
12173623,Elegant 1 Bedroom with Lake & CN tower view,55357443,Rakesh,,Waterfront Communities-The Island,43.64257,-79.3818,Entire home/apt,219,1,25,2019-09-01,0.59,47,212
12175346,Charming 1 Bedroom in Little Italy,33494303,Daria,,Trinity-Bellwoods,43.65438,-79.41638,Entire home/apt,125,2,19,2019-08-26,0.44,1,365
12175657,Home with beautiful flower garden !,65416939,Elaine,,Dovercourt-Wallace Emerson-Junction,43.66167,-79.45345,Private room,49,4,10,2019-08-12,0.32,1,0
12184007,1 Big Bdrm - Downtown near Subway,25916552,Tyson,,Annex,43.67233,-79.40552,Private room,69,2,0,,,1,0
12200403,Toronto Downtown in Cabbagetown 3 bdrm home,28562042,Rebekah,,Cabbagetown-South St.James Town,43.66576,-79.36522,Entire home/apt,118,10,6,2019-08-29,0.15,1,0
12202254,"Lovely clean space, steps to UP train",9958355,Monika,,Dovercourt-Wallace Emerson-Junction,43.65924,-79.44854,Private room,64,1,30,2019-11-10,0.76,1,272
12207102,Your home in Toronto,65646014,Pierre & Lynda,,Clanton Park,43.74443,-79.44885,Entire home/apt,115,2,164,2019-10-27,3.78,1,359
12207883,"Geeky Paradise with balcony, pool and hot tub!",9854754,Diana,,Bay Street Corridor,43.66289,-79.38619,Entire home/apt,89,2,5,2016-08-13,0.12,1,0
12208482,Luxury Furnished Condo in Downtown Toronto,65655696,Assem,,Waterfront Communities-The Island,43.64374,-79.3919,Entire home/apt,201,2,51,2019-08-11,1.17,1,0
12208748,downtown core of Toronto,52271881,Sean,,Waterfront Communities-The Island,43.64348,-79.38182,Entire home/apt,99,7,0,,,1,0
12208931,"Cozy Bungalow, steps from the lake",65659431,Jeff,,Long Branch,43.5899,-79.53565,Entire home/apt,300,3,3,2017-09-04,0.07,1,0
12209213,penthouse one bedroon apartment.,65645181,Grace,,Lansing-Westgate,43.76104,-79.41125,Entire home/apt,135,1,129,2019-11-30,2.89,1,361
12211908,Trinity Bellwoods Park family gem - Hosts 9,4423104,Ricky,,Trinity-Bellwoods,43.64873,-79.41354,Entire home/apt,525,4,112,2019-10-01,2.58,1,9
12213616,Large Studio Styled Bedroom in Downtown Core,31185074,Josselyn,,Kensington-Chinatown,43.65303,-79.39703,Private room,50,7,0,,,1,0
12222962,Sunny loft in vibrant and bustling neighbourhood,3013279,Jennifer,,Bay Street Corridor,43.66753,-79.38569,Entire home/apt,200,1,4,2016-09-23,0.10,1,0
12224230,LUXE Apartment in Prime Toronto Location!,5819896,Isabelle And Mariusz,,Niagara,43.64257,-79.40594,Entire home/apt,220,2,122,2019-10-20,3.06,2,328
12224371,Private room in bustling Entertainment District,8289560,Nash,,Waterfront Communities-The Island,43.64643,-79.40121,Private room,121,2,4,2018-12-20,0.25,2,0
12227642,Private Room in Bright Spacious Apt,65783834,Dayna,,Cabbagetown-South St.James Town,43.66363,-79.37113,Private room,60,2,0,,,1,0
12227956,Richmond/Simcoe condo with terrace!,37514178,TO Stays,,Waterfront Communities-The Island,43.64924,-79.38806,Entire home/apt,99,28,8,2019-10-31,0.21,13,309
